name	mfr	calories	protein	sodium	fiber	carbo	sugars	potass	vitamins	shelf	weight	cups	rating
"Fruit & Fibre Dates; Walnuts; and Oats"	P	120	3	160	5.0	12.0	10	200	25	3	1.25	0.67	40.917.047
Fruitful Bran	K	120	3	240	5.0	14.0	12	190	25	3	1.33	0.67	41.015.492
Fruity Pebbles	P	110	1	135	0.0	13.0	12	25	25	2	1.0	0.75	28.025.765
Golden Crisp	P	100	2	45	0.0	11.0	15	40	25	1	1.0	0.88	35.252.444
Golden Grahams	G	110	1	280	0.0	15.0	9	45	25	2	1.0	0.75	23.804.043
Grape Nuts Flakes	P	100	3	140	3.0	15.0	5	85	25	3	1.0	0.88	52.076.897
Grape-Nuts	P	110	3	170	3.0	17.0	3	90	25	3	1.0	0.25	53.371.007
Great Grains Pecan	P	120	3	75	3.0	13.0	4	100	25	3	1.0	0.33	45.811.716
Honey Graham Ohs	Q	120	1	220	1.0	12.0	11	45	25	2	1.0	1.0	21.871.292
Honey Nut Cheerios	G	110	3	250	1.5	11.5	10	90	25	1	1.0	0.75	31.072.217
Honey-comb	P	110	1	180	0.0	14.0	11	35	25	1	1.0	1.33	28.742.414
Just Right Crunchy  Nuggets	K	110	2	170	1.0	17.0	6	60	100	3	1.0	1.0	36.523.683
Just Right Fruit & Nut	K	140	3	170	2.0	20.0	9	95	100	3	1.3	0.75	36.471.512
Kix	G	110	2	260	0.0	21.0	3	40	25	2	1.0	1.5	39.241.114
Life	Q	100	4	150	2.0	12.0	6	95	25	2	1.0	0.67	45.328.074
Lucky Charms	G	110	2	180	0.0	12.0	12	55	25	2	1.0	1.0	26.734.515
Maypo	A	100	4	0	0.0	16.0	3	95	25	2	1.0	1.0	54.850.917
"Muesli Raisins; Dates; & Almonds"	R	150	4	95	3.0	16.0	11	170	25	3	1.0	1.0	37.136.863
"Muesli Raisins; Peaches; & Pecans"	R	150	4	150	3.0	16.0	11	170	25	3	1.0	1.0	34.139.765
Mueslix Crispy Blend	K	160	3	150	3.0	17.0	13	160	25	3	1.5	0.67	30.313.351
Multi-Grain Cheerios	G	100	2	220	2.0	15.0	6	90	25	1	1.0	1.0	40.105.965
Nut&Honey Crunch	K	120	2	190	0.0	15.0	9	40	25	2	1.0	0.67	29.924.285
Nutri-Grain Almond-Raisin	K	140	3	220	3.0	21.0	7	130	25	3	1.33	0.67	4.069.232
Nutri-grain Wheat	K	90	3	170	3.0	18.0	2	90	25	3	1.0	1.0	59.642.837
Oatmeal Raisin Crisp	G	130	3	170	1.5	13.5	10	120	25	3	1.25	0.5	30.450.843
Post Nat. Raisin Bran	P	120	3	200	6.0	11.0	14	260	25	3	1.33	0.67	37.840.594
Product 19	K	100	3	320	1.0	20.0	3	45	100	3	1.0	1.0	4.150.354
Puffed Rice	Q	50	1	0	0.0	13.0	0	15	0	3	0.5	1.0	60.756.112
Puffed Wheat	Q	50	2	0	1.0	10.0	0	50	0	3	0.5	1.0	63.005.645
Quaker Oat Squares	Q	100	4	135	2.0	14.0	6	110	25	3	1.0	0.5	49.511.874
Quaker Oatmeal	Q	100	5	0	2.7	-1.0	-1	110	0	1	1.0	0.67	50.828.392
Raisin Bran	K	120	3	210	5.0	14.0	12	240	25	2	1.33	0.75	39.259.197
Raisin Nut Bran	G	100	3	140	2.5	10.5	8	140	25	3	1.0	0.5	397.034
Raisin Squares	K	90	2	0	2.0	15.0	6	110	25	3	1.0	0.5	55.333.142
Rice Chex	R	110	1	240	0.0	23.0	2	30	25	1	1.0	1.13	41.998.933
Rice Krispies	K	110	2	290	0.0	22.0	3	35	25	1	1.0	1.0	40.560.159
Shredded Wheat	N	80	2	0	3.0	16.0	0	95	0	1	0.83	1.0	68.235.885
Shredded Wheat 'n'Bran	N	90	3	0	4.0	19.0	0	140	0	1	1.0	0.67	74.472.949
Shredded Wheat spoon size	N	90	3	0	3.0	20.0	0	120	0	1	1.0	0.67	72.801.787
Smacks	K	110	2	70	1.0	9.0	15	40	25	2	1.0	0.75	31.230.054
Special K	K	110	6	230	1.0	16.0	3	55	25	1	1.0	1.0	53.131.324
Strawberry Fruit Wheats	N	90	2	15	3.0	15.0	5	90	25	2	1.0	1.0	59.363.993
Total Corn Flakes	G	110	2	200	0.0	21.0	3	35	100	3	1.0	1.0	38.839.746
Total Raisin Bran	G	140	3	190	4.0	15.0	14	230	100	3	1.5	1.0	28.592.785
Total Whole Grain	G	100	3	200	3.0	16.0	3	110	100	3	1.0	1.0	46.658.844
Triples	G	110	2	250	0.0	21.0	3	60	25	3	1.0	0.75	39.106.174
Trix	G	110	1	140	0.0	13.0	12	25	25	2	1.0	1.0	27.753.301
Wheat Chex	R	100	3	230	3.0	17.0	3	115	25	1	1.0	0.67	49.787.445
Wheaties	G	100	3	200	3.0	17.0	3	110	25	1	1.0	1.0	51.592.193
Wheaties Honey Gold	G	110	2	200	1.0	16.0	8	60	25	1	1.0	0.75	36.187.559
